NUTS1 Region,LA code,LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Yorkshire and The Humber,E07000167,Ryedale,0.5,-2.6,-6.9,3.1,7.7,8.8,-3.1,9.8,-1.4,6.8,4.2,-2.7
Yorkshire and The Humber,E07000168,Scarborough,0.9,-1.8,-2.2,0.3,4.0,-1.8,-1.4,1.7,0.8,-0.2,6.6,-0.4
Yorkshire and The Humber,E07000169,Selby,2.5,-0.9,-6.6,3.1,3.7,-3.4,-2.6,-3.0,1.4,1.5,0.5,2.9
Yorkshire and The Humber,E08000016,Barnsley,3.5,-5.5,-5.6,3.6,3.7,1.5,2.3,2.8,-2.1,0.8,4.1,3.0
Yorkshire and The Humber,E08000017,Doncaster,4.2,-3.8,-7.5,4.0,1.6,0.4,2.8,3.0,7.5,0.2,11.4,8.1
Yorkshire and The Humber,E08000018,Rotherham,3.5,-4.6,-7.5,6.0,3.8,3.1,0.5,4.1,1.9,2.1,-2.1,1.5
Yorkshire and The Humber,E08000019,Sheffield,3.4,-5.0,-3.8,3.2,3.5,0.9,1.6,-0.5,0.8,1.1,1.4,0.0
Yorkshire and The Humber,E08000032,Bradford,2.3,-2.2,-4.1,0.3,4.5,2.9,1.0,-0.5,2.7,1.1,2.7,-2.2
Yorkshire and The Humber,E08000033,Calderdale,1.0,-5.4,-6.6,1.9,4.3,1.3,2.7,11.4,3.6,-0.1,-1.4,1.5
Yorkshire and The Humber,E08000034,Kirklees,1.5,-1.9,-4.4,0.1,3.4,0.4,0.6,3.8,2.3,2.2,2.8,0.2
Yorkshire and The Humber,E08000035,Leeds,2.0,-3.0,-5.6,2.7,3.3,0.4,0.3,0.9,3.6,0.2,0.5,4.5
Yorkshire and The Humber,E08000036,Wakefield,0.2,-1.0,-8.2,0.4,6.2,2.8,3.3,-0.7,3.7,1.6,0.6,3.1
East Midlands,E06000015,Derby,2.5,-4.2,0.0,5.2,2.5,0.2,2.5,0.5,-0.2,0.4,-4.6,6.9
East Midlands,E06000016,Leicester,2.7,0.7,-5.4,4.1,3.0,-2.1,2.8,5.3,3.6,3.7,-0.6,0.1
East Midlands,E06000017,Rutland,-0.8,0.8,-5.3,8.3,-4.1,0.9,-6.0,-0.8,4.5,5.6,2.4,-2.2
East Midlands,E06000018,Nottingham,1.8,1.2,-6.4,5.5,4.2,-0.4,2.1,4.7,1.5,-4.2,2.3,-0.6
East Midlands,E07000032,Amber Valley,1.6,-0.6,-8.7,5.6,1.7,-3.9,2.2,2.8,-0.1,4.2,1.8,-1.9
East Midlands,E07000033,Bolsover,8.1,23.5,-14.4,4.0,10.6,2.2,6.3,8.4,-0.5,14.2,-2.4,-19.0
East Midlands,E07000034,Chesterfield,0.2,-0.2,-6.0,10.3,3.3,3.3,-1.8,1.2,6.4,0.7,1.1,3.3
East Midlands,E07000035,Derbyshire Dales,-0.4,-1.3,-5.7,10.6,3.8,1.5,-4.0,2.2,-4.3,7.2,5.8,0.6
East Midlands,E07000036,Erewash,-0.4,-2.4,-5.8,6.7,5.7,-0.7,2.6,-1.4,3.0,4.0,3.2,-4.1
East Midlands,E07000037,High Peak,-0.4,-2.9,-7.3,1.9,5.5,-0.7,-5.2,-2.7,2.4,3.6,5.1,-3.3
East Midlands,E07000038,North East Derbyshire,-0.8,-0.8,-5.5,7.7,4.7,-1.2,2.1,7.0,6.8,-1.9,0.1,44.5
East Midlands,E07000039,South Derbyshire,-0.6,-2.7,-9.5,10.9,7.3,2.2,15.4,1.8,-4.4,11.1,0.7,-13.1
East Midlands,E07000129,Blaby,5.6,-0.4,-2.9,9.5,-2.0,3.2,4.8,1.3,-1.9,-0.6,4.0,4.3
