LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Harborough,"1,859","1,894","1,790","1,909","1,910","1,998","1,811","1,968","2,118","2,167","2,340","2,366"
Hinckley and Bosworth,"1,864","1,956","1,802","1,920","1,956","2,077","2,238","2,365","2,407","2,427","2,586","2,573"
Melton,951,969,963,"1,031","1,018","1,068","1,098","1,076","1,215","1,268","1,257","1,331"
North West Leicestershire,"2,633","2,669","2,560","2,739","2,728","2,920","3,204","3,357","3,490","3,605","3,636","3,982"
Oadby and Wigston,804,835,816,845,843,891,924,884,933,943,929,974
Boston,"1,095","1,130","1,106","1,143","1,202","1,223","1,339","1,415","1,432","1,521","1,574","1,584"
East Lindsey,"1,948","2,054","1,965","2,045","2,157","2,219","2,381","2,354","2,466","2,495","2,573","2,522"
Lincoln,"3,104","2,668","3,113","3,210","3,027","3,192","3,269","3,233","3,352","3,178","3,155","3,496"
North Kesteven,"1,864","1,937","1,858","1,907","1,968","2,116","2,148","2,231","2,248","2,270","2,519","2,534"
South Holland,"1,546","1,579","1,564","1,599","1,649","1,766","1,886","1,924","1,973","2,123","2,271","2,369"
South Kesteven,"2,504","2,622","2,527","2,617","2,664","2,816","2,964","3,131","3,078","3,189","3,375","3,388"
West Lindsey,"1,184","1,257","1,186","1,227","1,263","1,363","1,488","1,553","1,569","1,564","1,622","1,733"
Corby,"1,222","1,267","1,224","1,311","1,302","1,375","1,467","1,584","1,621","2,017","2,366","2,303"
Daventry,"1,690","1,776","1,637","1,756","1,798","1,868","1,982","2,059","2,096","2,192","2,330","2,545"
East Northamptonshire,"1,186","1,210","1,150","1,207","1,233","1,229","1,279","1,305","1,412","1,486","1,525","1,601"
Kettering,"1,607","1,663","1,619","1,722","1,744","1,906","2,006","2,110","2,136","2,261","2,358","2,475"
Northampton,"6,592","6,626","6,571","6,680","6,935","6,928","7,344","7,677","8,111","8,186","8,324","8,453"
South Northamptonshire,"1,473","1,530","1,459","1,517","1,536","1,619","1,753","1,825","1,873","2,015","2,124","2,178"
Wellingborough,"1,444","1,493","1,433","1,532","1,521","1,607","1,676","1,756","1,787","1,873","1,985","1,999"
Ashfield,"2,221","2,305","2,241","2,319","2,395","2,325","2,625","2,821","2,770","2,840","2,818","2,957"
Bassetlaw,"1,855","1,889","1,851","1,938","2,023","2,139","2,252","2,260","2,358","2,418","2,393","2,508"
Broxtowe,"1,907","1,957","1,923","2,087","2,236","2,319","2,371","2,388","2,514","2,506","2,699","2,783"
Gedling,"1,604","1,661","1,516","1,630","1,704","1,886","1,949","1,760","1,854","1,906","2,002","2,030"
Mansfield,"1,417","1,446","1,365","1,420","1,492","1,520","1,526","1,582","1,644","1,702","1,742","1,838"
Newark and Sherwood,"1,938","1,978","1,939","2,032","2,158","2,291","2,331","2,369","2,507","2,588","2,677","2,795"
Rushcliffe,"2,053","2,147","2,051","2,053","2,081","2,130","2,275","2,305","2,270","2,442","2,593","2,823"
"Herefordshire, County of","3,291","3,436","3,315","3,344","3,585","3,745","3,863","4,191","4,120","4,283","4,437","4,478"
Telford and Wrekin,"3,771","3,898","3,650","3,839","3,898","3,727","3,848","3,939","3,976","4,582","5,113","5,386"
Stoke-on-Trent,"4,444","4,749","4,655","4,802","4,957","5,084","6,486","6,570","6,674","7,301","7,823","8,013"
Shropshire,"6,392","6,325","6,404","6,751","6,821","6,915","6,362","6,506","6,699","7,093","7,382","7,465"
Cannock Chase,"1,707","1,736","1,618","1,662","1,722","1,870","1,901","2,037","2,125","2,074","2,215","2,364"
